Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505213,-,-,-,37.97,-104.18,-7,1433,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,GHI,DNI,Cloud Type,Pressure,Wind Speed
2018,1,1,0,30,62.49,-8.9,0,0,0,860,2.3000000000000003
2018,1,1,1,30,63.18,-9,0,0,0,860,2.3000000000000003
2018,1,1,2,30,63.45,-9,0,0,0,860,2.2
2018,1,1,3,30,64.38,-9.1,0,0,8,860,1.9000000000000001
2018,1,1,4,30,65.72,-9.200000000000001,0,0,8,859,1.7000000000000002
2018,1,1,5,30,67.69,-9.3,0,0,0,859,1.6
2018,1,1,6,30,68.75,-9.200000000000001,0,0,0,859,1.5
2018,1,1,7,30,65.63,-8.4,14,0,4,859,1.3
2018,1,1,8,30,58.04,-6.5,137,218,7,859,1.2000000000000002
2018,1,1,9,30,49.03,-4.1000000000000005,347,863,0,858,1.3
2018,1,1,10,30,41.31,-1.6,457,894,0,857,1.5
2018,1,1,11,30,35.94,0.5,518,921,0,856,1.6
2018,1,1,12,30,32.82,1.9000000000000001,525,960,0,855,1.8
2018,1,1,13,30,31.810000000000002,2.5,464,932,0,854,2.2
2018,1,1,14,30,36.27,1.8,347,864,0,854,2.6
2018,1,1,15,30,43.53,0.30000000000000004,152,296,7,854,2.5
2018,1,1,16,30,46.730000000000004,-0.8,14,10,7,854,2.2
2018,1,1,17,30,48.78,-1.4000000000000001,0,0,0,854,2.3000000000000003
2018,1,1,18,30,52.07,-2,0,0,0,855,2.3000000000000003
2018,1,1,19,30,55.77,-2.9000000000000004,0,0,0,855,2.1
2018,1,1,20,30,59.01,-3.8000000000000003,0,0,0,855,1.9000000000000001
2018,1,1,21,30,61.96,-4.7,0,0,0,855,1.8
2018,1,1,22,30,65.16,-5.6000000000000005,0,0,0,856,1.8
2018,1,1,23,30,66.76,-6.4,0,0,0,856,1.7000000000000002
2018,1,2,0,30,67.52,-7,0,0,0,856,1.6
2018,1,2,1,30,68.49,-7.5,0,0,0,857,1.7000000000000002
2018,1,2,2,30,68.18,-7.800000000000001,0,0,0,857,1.9000000000000001
2018,1,2,3,30,66.62,-7.9,0,0,0,858,2.3000000000000003
2018,1,2,4,30,64.21000000000001,-7.800000000000001,0,0,0,859,2.5
2018,1,2,5,30,63.17,-7.9,0,0,0,860,2.1
2018,1,2,6,30,63.2,-8.1,0,0,0,860,1.2000000000000002
2018,1,2,7,30,58.300000000000004,-7.2,29,253,0,860,0.5
2018,1,2,8,30,49.870000000000005,-5,192,742,0,860,0.4
2018,1,2,9,30,42.36,-2.3000000000000003,353,895,0,860,0.9
2018,1,2,10,30,34.45,0.8,479,980,0,859,2
2018,1,2,11,30,27.16,3.5,543,1009,0,858,2.7
2018,1,2,12,30,22.43,5.1000000000000005,544,1012,0,857,2.5
2018,1,2,13,30,19.990000000000002,5.800000000000001,482,989,0,857,2.1
2018,1,2,14,30,21.66,4.9,364,932,0,857,1.4000000000000001
2018,1,2,15,30,39.76,2.1,203,802,0,858,1
2018,1,2,16,30,35.980000000000004,0.1,37,391,0,858,1.2000000000000002
2018,1,2,17,30,33.55,-0.30000000000000004,0,0,0,859,0.9
2018,1,2,18,30,32.83,-0.5,0,0,0,860,0.6000000000000001
2018,1,2,19,30,34.47,-1.2000000000000002,0,0,0,860,0.8
2018,1,2,20,30,35.83,-1.5,0,0,0,860,1.1
2018,1,2,21,30,35.18,-1.5,0,0,0,860,1.2000000000000002
2018,1,2,22,30,33.75,-1.4000000000000001,0,0,0,860,1.3
2018,1,2,23,30,33.18,-1.6,0,0,0,860,1.4000000000000001
2018,1,3,0,30,33.88,-2.1,0,0,0,860,1.4000000000000001
2018,1,3,1,30,33.12,-2,0,0,0,860,1.3
2018,1,3,2,30,30.93,-1.4000000000000001,0,0,0,860,1.2000000000000002
2018,1,3,3,30,29.27,-1,0,0,0,860,1.1
2018,1,3,4,30,28.11,-0.9,0,0,0,860,1.2000000000000002
2018,1,3,5,30,26.97,-1,0,0,0,860,1.3
2018,1,3,6,30,24.84,-0.7000000000000001,0,0,0,860,1.1
2018,1,3,7,30,22.01,0.5,28,264,0,860,0.8
2018,1,3,8,30,23.5,2.8000000000000003,197,801,0,860,0.7000000000000001
2018,1,3,9,30,21.580000000000002,5.5,357,928,0,860,1.1
2018,1,3,10,30,12.120000000000001,7.7,477,988,0,859,1.8
2018,1,3,11,30,10.38,9.1,539,1005,0,857,2.1
2018,1,3,12,30,10.14,9.9,522,896,0,856,2.1
2018,1,3,13,30,11.25,9.600000000000001,395,517,7,855,1.8
2018,1,3,14,30,21.990000000000002,7.300000000000001,309,479,7,854,1.5
2018,1,3,15,30,29.46,3.8000000000000003,119,40,7,854,1.5
2018,1,3,16,30,29.080000000000002,1.4000000000000001,23,5,7,854,1.4000000000000001
2018,1,3,17,30,30.85,0.6000000000000001,0,0,7,854,1
2018,1,3,18,30,33.480000000000004,0.7000000000000001,0,0,4,854,0.6000000000000001
2018,1,3,19,30,36.13,0.4,0,0,4,854,0.7000000000000001
2018,1,3,20,30,39.61,-0.4,0,0,7,854,1.1
2018,1,3,21,30,41.68,-1,0,0,7,854,1.2000000000000002
2018,1,3,22,30,42.83,-1.3,0,0,0,854,1.4000000000000001
2018,1,3,23,30,43.85,-1.4000000000000001,0,0,0,854,1.7000000000000002
2018,1,4,0,30,44.14,-1.3,0,0,0,854,2.1
2018,1,4,1,30,43.53,-1.2000000000000002,0,0,0,854,2.2
2018,1,4,2,30,41.660000000000004,-1.1,0,0,0,854,2.2
2018,1,4,3,30,39.45,-1.2000000000000002,0,0,8,854,2.1
2018,1,4,4,30,36.95,-1.5,0,0,4,854,2
2018,1,4,5,30,35.01,-1.8,0,0,4,855,1.8
2018,1,4,6,30,33.82,-1.9000000000000001,0,0,8,855,1.7000000000000002
2018,1,4,7,30,30.36,-0.1,15,0,4,856,1.5
2018,1,4,8,30,29.1,3.5,141,150,7,857,1.9000000000000001
