Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505213,-,-,-,37.97,-104.18,-7,1433,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,GHI,DNI,Cloud Type,Pressure,Wind Speed
2020,1,1,0,30,39.32,-1.4000000000000001,0,0,0,844,5.2
2020,1,1,1,30,36.17,-1.2000000000000002,0,0,0,843,5.2
2020,1,1,2,30,33.31,-0.9,0,0,0,842,5.300000000000001
2020,1,1,3,30,31.39,-0.6000000000000001,0,0,0,841,5.4
2020,1,1,4,30,30.72,-0.30000000000000004,0,0,0,840,5.300000000000001
2020,1,1,5,30,32.07,-0.1,0,0,0,840,5.2
2020,1,1,6,30,34.06,0.2,0,0,0,839,5.300000000000001
2020,1,1,7,30,33.61,1.8,29,309,0,840,5.7
2020,1,1,8,30,31.53,4.3,173,616,0,840,6
2020,1,1,9,30,30.400000000000002,7,326,818,0,840,6.1000000000000005
2020,1,1,10,30,30.68,9.200000000000001,450,928,0,839,6.1000000000000005
2020,1,1,11,30,32.06,10,461,709,0,838,5.300000000000001
2020,1,1,12,30,35.42,9.9,250,94,7,837,4.5
2020,1,1,13,30,40.160000000000004,9.9,74,3,6,836,4
2020,1,1,14,30,45.1,9,41,0,6,836,3.4000000000000004
2020,1,1,15,30,57.35,6.1000000000000005,81,19,6,836,2.7
2020,1,1,16,30,61.08,3.9000000000000004,16,0,4,836,2.9000000000000004
2020,1,1,17,30,60.96,3.3000000000000003,0,0,6,837,3.4000000000000004
2020,1,1,18,30,60.06,3.2,0,0,9,837,3.7
2020,1,1,19,30,59.74,3,0,0,9,837,3.6
2020,1,1,20,30,60.300000000000004,2.5,0,0,9,837,3.1
2020,1,1,21,30,60.2,2.2,0,0,6,837,3
2020,1,1,22,30,59.5,2,0,0,7,837,3.1
2020,1,1,23,30,59.65,1.5,0,0,0,837,3
2020,1,2,0,30,58.870000000000005,1,0,0,0,837,2.9000000000000004
2020,1,2,1,30,58.38,0.4,0,0,0,838,2.8000000000000003
2020,1,2,2,30,58.21,-0.2,0,0,0,838,2.7
2020,1,2,3,30,58.370000000000005,-0.7000000000000001,0,0,4,838,2.6
2020,1,2,4,30,58.7,-1.1,0,0,7,838,2.4000000000000004
2020,1,2,5,30,59.27,-1.6,0,0,7,839,2.4000000000000004
2020,1,2,6,30,57.52,-1.5,0,0,4,840,2.5
2020,1,2,7,30,50.47,0.2,11,0,6,841,3.2
2020,1,2,8,30,42.22,2.8000000000000003,57,2,6,842,3.9000000000000004
2020,1,2,9,30,37.15,4.9,57,2,6,842,4.3
2020,1,2,10,30,38.01,6.2,121,7,7,842,4.3
2020,1,2,11,30,38.59,6.6000000000000005,450,632,0,842,3.9000000000000004
2020,1,2,12,30,38.28,6.5,520,955,0,842,3.4000000000000004
2020,1,2,13,30,37.9,6.300000000000001,405,678,0,842,2.8000000000000003
2020,1,2,14,30,40.050000000000004,5.4,307,708,0,843,1.7000000000000002
2020,1,2,15,30,53.28,3.9000000000000004,186,684,0,843,0.9
2020,1,2,16,30,49.26,2.5,32,295,0,843,0.8
2020,1,2,17,30,49.08,1.7000000000000002,0,0,0,844,0.6000000000000001
2020,1,2,18,30,50.92,1.1,0,0,0,845,0.30000000000000004
2020,1,2,19,30,52.49,0.5,0,0,0,846,0.5
2020,1,2,20,30,54.72,-0.30000000000000004,0,0,0,846,1.1
2020,1,2,21,30,57.44,-1.2000000000000002,0,0,0,847,1.6
2020,1,2,22,30,59.49,-1.9000000000000001,0,0,0,848,2
2020,1,2,23,30,59.35,-2.2,0,0,0,848,2.4000000000000004
2020,1,3,0,30,57.69,-2.3000000000000003,0,0,0,849,2.9000000000000004
2020,1,3,1,30,55.6,-2.4000000000000004,0,0,0,850,3.4000000000000004
2020,1,3,2,30,53.730000000000004,-2.5,0,0,0,850,4
2020,1,3,3,30,52.61,-2.7,0,0,8,850,4.3
2020,1,3,4,30,51.46,-2.9000000000000004,0,0,0,851,4.2
2020,1,3,5,30,49.57,-3,0,0,0,852,4.1000000000000005
2020,1,3,6,30,46.58,-2.8000000000000003,0,0,0,852,4.1000000000000005
2020,1,3,7,30,40.31,-1.3,30,335,0,853,4.3
2020,1,3,8,30,32.5,1.5,190,782,0,854,4.1000000000000005
