Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505213,-,-,-,37.97,-104.18,-7,1433,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,GHI,DNI,Cloud Type,Pressure,Wind Speed
2022,1,1,0,30,79.67,-6.9,0,0,8,839,6.300000000000001
2022,1,1,1,30,72.57000000000001,-7.9,0,0,6,840,5.4
2022,1,1,2,30,67.67,-8.200000000000001,0,0,7,840,4.2
2022,1,1,3,30,66.12,-8.5,0,0,7,841,3.4000000000000004
2022,1,1,4,30,64.85,-8.8,0,0,7,841,3
2022,1,1,5,30,64.57000000000001,-9.3,0,0,4,842,2.7
2022,1,1,6,30,64.02,-9.700000000000001,0,0,8,843,2.6
2022,1,1,7,30,60.370000000000005,-9.4,11,0,8,843,3.1
2022,1,1,8,30,55.300000000000004,-8.5,22,0,6,844,3.6
2022,1,1,9,30,50.61,-7.7,14,0,9,844,4
2022,1,1,10,30,48.44,-7.300000000000001,39,0,7,844,4.2
2022,1,1,11,30,48.230000000000004,-7.2,29,0,6,845,4
2022,1,1,12,30,49.42,-7.300000000000001,76,1,7,845,4
2022,1,1,13,30,50.11,-7.4,47,1,7,846,4
2022,1,1,14,30,50.120000000000005,-7.4,63,0,8,847,3.8000000000000003
2022,1,1,15,30,50.86,-7.5,35,0,8,848,3.3000000000000003
2022,1,1,16,30,50.65,-7.6000000000000005,13,0,5,849,2.7
2022,1,1,17,30,49.230000000000004,-7.5,0,0,8,850,2.1
